code_barre,adresseLongitude,adresseLatitude,adresseLigne1,code_postal,region,commune,populationCommune,densite,niveau_de_vie,gareLaPlusProche,distanceGare,nombre_paiements,nombre_contacts,taux de transformation
PROX-BDB-1021-352754,5.27934,45.58952,5 AV PROFESSEUR TIXIER,38300.0,Auvergne-Rhône-Alpes,Bourgoin-Jallieu,29024.0,3,18705.0,Bourgoin-Jallieu,0.7387093454568796,9.0,49,18.367346938775512
PROX-BDB-1021-352755,4.87502,49.69671,24 AVENUE DE TOULON,8350.0,Grand Est,Donchery,2115.0,2,17915.333333,Donchery,0.17914152669158173,7.0,24,29.166666666666668
PROX-BDB-1021-352756,5.02749,44.97475,12 AV DAUPHINE PROVENCE,26300.0,Auvergne-Rhône-Alpes,Alixan,2584.0,2,21398.0,Alixan-Châteauneuf-d'Isère,4.327066742858733,4.0,29,13.793103448275861
PROX-BDB-1021-352757,5.56536,45.32674,60 RUE DE LA REPUBLIQUE,38430.0,Auvergne-Rhône-Alpes,Moirans,8014.0,3,20966.0,Moirans-la-Galifette,0.3254618930808153,12.0,41,29.268292682926827
PROX-BDB-1021-352758,0.21854,49.11154,43 RUE DU COMMERCE,14100.0,Normandie,Saint-Martin-de-la-Lieue,796.0,2,20146.0,Lisieux,3.1039389166065043,20.0,33,60.60606060606061
PROX-BDB-1021-352759,4.91182,44.9453,3 RUE SIMONE SIGNORET,26000.0,Auvergne-Rhône-Alpes,Valence,65028.0,1,18135.0,Valence,2.4143284845174153,2.0,30,6.666666666666667
PROX-BDB-1021-352760,4.76754,44.349,8 RUE DE L EGLISE,26130.0,Auvergne-Rhône-Alpes,Saint-Paul-Trois-Châteaux,9394.0,3,21473.333333,Pierrelatte,5.804533561335567,13.0,30,43.333333333333336
PROX-BDB-1021-352761,5.9183,45.58891,189 AV D ANNECY,73000.0,Auvergne-Rhône-Alpes,Chambéry,60481.0,4,19349.333333,Chambéry-Challes-les-Eaux,1.894170202071875,3.0,102,2.941176470588235
PROX-BDB-1021-352762,5.88985,43.93138,CENTRE COMMERCIAL LE PLAN,4700.0,Provence-Alpes-Côte d'Azur,La Brillanne,1164.0,2,17461.0,La Brillanne-Oraison,0.8135570569482825,10.0,25,40.0
PROX-BDB-1021-352763,4.8861,44.92043,227 Avenue Victor Hugo,26000.0,Auvergne-Rhône-Alpes,Valence,65028.0,1,18135.0,Valence,1.0134871291347647,4.0,43,9.30232558139535
PROX-BDB-1021-352764,4.89084,44.83966,2 C ROUTE DE BEAUVALLON L'ALOUETTE,26800.0,Auvergne-Rhône-Alpes,Étoile-sur-Rhône,5603.0,2,21197.777778,Portes,4.623029343843232,8.0,47,17.02127659574468
PROX-BDB-1021-352765,5.02144,44.72773,18 RUE MAURICE LONG,26400.0,Auvergne-Rhône-Alpes,Crest,8773.0,3,17705.0,Crest,0.5452066077799359,15.0,71,21.12676056338028
PROX-BDB-1021-352766,5.0468,45.04572,38 CRS PIERRE DIDIER,26100.0,Auvergne-Rhône-Alpes,Romans-sur-Isère,33832.0,3,17503.913043,Romans-Bourg-de-Péage,0.426971948258017,18.0,58,31.03448275862069
PROX-BDB-1021-352767,5.05582,45.05675,2 Rue Etienne Jodelle,26100.0,Auvergne-Rhône-Alpes,Romans-sur-Isère,33832.0,3,17503.913043,Romans-Bourg-de-Péage,0.9896857391588363,9.0,14,64.28571428571429
PROX-BDB-1021-352768,4.61523,45.529,23 RUE JULES GUESDE,42800.0,Auvergne-Rhône-Alpes,Rive-de-Gier,15299.0,3,16822.333333,Rive-de-Gier,0.8446008551636418,15.0,80,18.75
PROX-BDB-1021-352769,3.07709,44.09824,23 BD DE L AYROLLE,12100.0,Occitanie,Millau,22844.0,3,18579.166667,Millau,0.5136426230565674,26.0,27,96.29629629629629
PROX-BDB-1021-352770,4.69698,44.37775,1 route des blaches,26700.0,Auvergne-Rhône-Alpes,Pierrelatte,13752.0,3,18467.0,Pierrelatte,0.6522896313400718,13.0,65,20.0
PROX-BDB-1021-352771,4.84524,45.76136,78 AV DU MARECHAL DE SAXE,69003.0,Auvergne-Rhône-Alpes,Lyon 3e Arrondissement,102752.0,4,23139.0,Lyon-Part-Dieu,1.164165431114817,4.0,33,12.121212121212121
PROX-BDB-1021-352772,-1.07133,49.10913,61 rue de Torigni,50000.0,Normandie,Saint-Lô,19999.0,3,18883.0,St-Lô,2.2671711404719654,10.0,54,18.51851851851852
PROX-BDB-1021-352773,5.06244,45.04549,38 AV GAMBETTA,26100.0,Auvergne-Rhône-Alpes,Romans-sur-Isère,33832.0,3,17503.913043,Romans-Bourg-de-Péage,1.078507493814808,14.0,40,35.0
PROX-BDB-1021-352774,-1.53547,47.18014,82 RUE DE LA BLORDIERE,44400.0,Pays de la Loire,Rezé,42154.0,4,20564.444444,Rezé-Pont-Rousseau,1.809841556285442,19.0,31,61.29032258064516
PROX-BDB-1021-352775,4.88686,45.75402,2TER COURS RICHARD VITTON,69003.0,Auvergne-Rhône-Alpes,Lyon 3e Arrondissement,102752.0,4,23139.0,Lyon-Part-Dieu,2.1916474976484768,56.0,123,45.52845528455284
PROX-BDB-1021-352776,0.1871,48.0143,70 RUE DES JARDINS,72000.0,Pays de la Loire,Le Mans,145776.0,4,19112.53,Le Mans,2.206181901455933,6.0,27,22.22222222222222
PROX-BDB-1021-352777,4.71813,45.93595,22 RUE DU 3 SEPTEMBRE 44,69480.0,Auvergne-Rhône-Alpes,Anse,7332.0,3,21994.761905,Anse,0.40230409092574854,5.0,84,5.952380952380952
